price_in_rp,district,city,bedrooms,bathrooms,building_size_m2,land_size_m2,certificate,furnishing,city_encoded,district_encoded,certificate_encoded,furnishing_encoded
2275000000,Jatiasih,Kota Bekasi,0.0,0.0,-0.38461538461538464,0.13636363636363635,SHM,Unfurnished,0,32,1,0
600000000,Bekasi Utara,Kota Bekasi,0.0,-1.0,-0.27350427350427353,-0.17045454545454544,SHM,Unfurnished,0,6,1,0
915000000,Jatisampurna (Jati Sampurna),Kota Bekasi,0.0,0.0,-0.358974358974359,-0.3977272727272727,SHM,Unfurnished,0,34,1,0
1700000000,Bekasi Timur,Kota Bekasi,0.0,0.0,0.7692307692307693,1.9886363636363635,SHM,Unfurnished,0,5,1,0
825000000,Bekasi Selatan,Kota Bekasi,-1.0,-1.0,-0.41025641025641024,-0.375,SHM,Unfurnished,0,4,1,0
850500000,Jatisampurna (Jati Sampurna),Kota Bekasi,-1.0,0.0,-1.0085470085470085,-1.1704545454545454,SHM,Unfurnished,0,34,1,0
1325000000,Pondokgede (Pondok Gede),Kota Bekasi,0.0,0.0,-0.1623931623931624,-0.375,HGB,Unfurnished,0,68,0,0
752500000,Mustikajaya (Mustika Jaya),Kota Bekasi,0.0,0.0,-0.5128205128205128,-0.4090909090909091,SHM,Unfurnished,0,56,1,0
650000000,Jatisampurna (Jati Sampurna),Kota Bekasi,0.0,-1.0,-0.5128205128205128,-0.4090909090909091,SHM,Unfurnished,0,34,1,0
450000000,Jatisampurna (Jati Sampurna),Kota Bekasi,0.0,0.0,-0.4700854700854701,-0.10227272727272728,SHM,Unfurnished,0,34,1,0
1200000000,Jatisampurna (Jati Sampurna),Kota Bekasi,-1.0,-1.0,-0.38461538461538464,0.0,SHM,Unfurnished,0,34,1,0
1097500000,Mustikajaya (Mustika Jaya),Kota Bekasi,-1.0,-1.0,-0.6666666666666666,-0.5795454545454546,SHM,Unfurnished,0,56,1,0
1350000000,Jatiasih,Kota Bekasi,1.0,1.0,0.5555555555555556,1.1022727272727273,SHM,Unfurnished,0,32,1,0
1290000000,Jatisampurna (Jati Sampurna),Kota Bekasi,0.0,0.0,-0.3504273504273504,-0.375,SHM,Unfurnished,0,34,1,0
772500000,Mustikajaya (Mustika Jaya),Kota Bekasi,-1.0,0.0,-0.5811965811965812,-0.4772727272727273,SHM,Unfurnished,0,56,1,0
1600000000,Jatisampurna (Jati Sampurna),Kota Bekasi,1.0,1.0,0.0,0.03409090909090909,SHM,Furnished,0,34,1,2
582500000,Bekasi Utara,Kota Bekasi,-1.0,-1.0,-0.5128205128205128,-0.5113636363636364,SHM,Unfurnished,0,6,1,0
1450000000,Pondokgede (Pondok Gede),Kota Bekasi,0.0,0.0,-0.2564102564102564,-0.375,HGB,Unfurnished,0,68,0,0
1350000000,Pondokgede (Pondok Gede),Kota Bekasi,1.0,1.0,0.5641025641025641,1.1022727272727273,SHM,Unfurnished,0,68,1,0
993500000,Mustikajaya (Mustika Jaya),Kota Bekasi,-1.0,0.0,-0.5128205128205128,-0.5113636363636364,SHM,Unfurnished,0,56,1,0
752500000,Mustikajaya (Mustika Jaya),Kota Bekasi,0.0,0.0,-0.41025641025641024,-0.4090909090909091,SHM,Unfurnished,0,56,1,0
3000000000,Medansatria (Medan Satria),Kota Bekasi,1.0,1.0,1.452991452991453,0.9659090909090909,SHM,Unfurnished,0,54,1,0
394000000,Mustikajaya (Mustika Jaya),Kota Bekasi,-1.0,-1.0,-0.717948717948718,-0.5113636363636364,SHM,Unfurnished,0,56,1,0
1275000000,Jatiasih,Kota Bekasi,0.0,0.0,-0.41025641025641024,0.06818181818181818,SHM,Unfurnished,0,32,1,0
775000000,Medansatria (Medan Satria),Kota Bekasi,0.0,0.0,-0.38461538461538464,-0.6590909090909091,SHM,Unfurnished,0,54,1,0
396000000,Mustikajaya (Mustika Jaya),Kota Bekasi,-1.0,-1.0,-0.717948717948718,-0.5113636363636364,SHM,Unfurnished,0,56,1,0
